gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts
RPRC013673,1520,1182,649,478
RPRC013773,730,485,615,384
RPRC013671,497,318,129,102
RPRC002101,808,608,517,358
RPRC013772,211,128,113,66
RPRC013769,785,560,394,238
RPRC013698,1014,757,518,323
RPRC001566,1127,902,332,259
RPRC013768,0,0,0,0
RPRC013767,3111,2485,1030,688
RPRC013766,19,12,11,13
RPRC013705,1902,1526,780,571
RPRC013758,91,39,33,42
RPRC013706,1706,1191,539,466
RPRC013757,206,117,98,54
RPRC013707,377,231,143,74
RPRC013729,1024,730,430,271
RPRC013728,290,217,89,62
RPRC013724,4070,3367,1566,1387
RPRC013670,5649,3867,1692,1351
RPRC013717,61,42,1,6
RPRC013647,634,462,78,80
RPRC013714,124,147,29,30
RPRC013712,262,185,40,33
RPRC013709,976,572,515,356
RPRC013708,0,0,0,0
RPRC004123,21,10,41,42
RPRC004119,9249,5525,1674,1527
RPRC004599,4408,2889,383,346
RPRC001567,803,351,432,317
RPRC017307,1,1,0,0
RPRC004169,1061,779,339,239
RPRC004576,1886,1143,1536,1110
RPRC004106,2399,1850,732,562
RPRC004181,2567,1972,1205,802
RPRC004194,295,237,57,58
RPRC004300,19252,14100,6762,5221
RPRC004535,3334,2440,1321,828
RPRC004490,12,9,4,4
RPRC004485,900,620,213,147
RPRC004042,1612,1193,658,473
RPRC004388,1377,887,1119,843
RPRC004387,146,112,109,49
RPRC004386,570,434,384,262
RPRC004366,50,31,5,16
RPRC004013,87,58,30,116
RPRC001568,1245,1157,669,447
RPRC004382,3706,2405,1220,810
RPRC004007,878,604,480,333
RPRC004371,3414,2243,1407,974
RPRC000454,3569,3056,1450,854
RPRC000834,0,0,0,0
RPRC004148,2,1,0,0
RPRC000835,1,3,0,0
RPRC012598,583,484,390,248
RPRC012600,984,826,225,158
RPRC012596,1655,1330,473,328
RPRC017062,1,0,0,0
RPRC013914,10,1,4,4
RPRC006548,2015,2335,1223,1585
RPRC000548,198,126,128,85
RPRC004178,163,85,33,22
RPRC004125,1053,653,472,298
RPRC004127,1092,631,341,294
RPRC004129,1524,1108,327,184
RPRC004150,1865,1200,787,518
RPRC004093,2241,1530,1069,710
RPRC004089,12333,9660,3102,2953
RPRC004177,1,1,0,0
RPRC004166,33,32,16,21
RPRC004170,1511,1370,378,279
RPRC004174,2397,1951,435,514
RPRC004087,1745,1135,460,362
RPRC004086,5478,3803,1582,1232
RPRC004083,7365,4942,3445,2368
RPRC001118,712,548,347,304
RPRC011084,0,0,0,0
RPRC002840,0,0,0,0
RPRC012741,0,0,0,0
RPRC014334,1,0,0,0
RPRC008270,223,264,209,223
RPRC008480,1,1,0,0
RPRC005944,50,66,8,15
RPRC005926,3888,3206,1127,878
RPRC006010,0,0,0,0
RPRC006009,6,7,0,0
RPRC006007,4011,2821,1287,882
RPRC001145,3042,2094,1050,697
RPRC005925,798,835,86,88
RPRC005922,2616,2016,723,507
RPRC005920,1018,663,248,233
RPRC005945,1287,920,616,454
RPRC001146,833,631,328,201
RPRC005919,2351,1665,1087,805
RPRC001147,872,787,322,423
RPRC005918,9527,6368,1386,1571
RPRC005978,4005,2985,1627,1204
