gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC011178,473,294,75,36,23.53,21.29,9.38,6.12
RPRC001669,1692,1263,1012,758,84.16,91.45,126.62,128.94
RPRC011041,1507,1071,474,323,74.96,77.54,59.31,54.94
RPRC011049,3496,2221,1526,1300,173.89,160.81,190.94,221.14
RPRC011177,109,93,96,80,5.42,6.73,12.01,13.61
RPRC011176,168,98,172,148,8.36,7.10,21.52,25.18
RPRC011021,1104,750,658,404,54.91,54.30,82.33,68.72
RPRC011017,983,714,483,362,48.90,51.70,60.43,61.58
RPRC017000,4,3,1,1,0.20,0.22,0.13,0.17
RPRC001670,197,150,163,111,9.80,10.86,20.40,18.88
RPRC001671,148,26,10,8,7.36,1.88,1.25,1.36
RPRC011093,114,32,104,87,5.67,2.32,13.01,14.80
RPRC001672,1869,1369,67,88,92.97,99.12,8.38,14.97
RPRC011091,225,170,12,7,11.19,12.31,1.50,1.19
RPRC011067,1729,1126,531,324,86.00,81.53,66.44,55.11
RPRC001673,3313,2518,1746,1443,164.79,182.31,218.46,245.46
RPRC011063,1415,948,987,763,70.38,68.64,123.50,129.79
RPRC011058,2642,1721,2806,2026,131.41,124.61,351.09,344.63
RPRC011057,173,112,118,92,8.61,8.11,14.76,15.65
RPRC011054,167,167,156,104,8.31,12.09,19.52,17.69
RPRC011053,155,137,87,86,7.71,9.92,10.89,14.63
RPRC012521,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000216,22,9,4,3,1.09,0.65,0.50,0.51
RPRC008866,36,10,12,4,1.79,0.72,1.50,0.68
RPRC011070,12,8,2,3,0.60,0.58,0.25,0.51
RPRC011030,1005,747,417,298,49.99,54.09,52.18,50.69
RPRC011029,3671,2490,1430,890,182.60,180.28,178.93,151.39
RPRC011026,507,306,378,255,25.22,22.16,47.30,43.38
RPRC011066,5,0,1,0,0.25,0.00,0.13,0.00
RPRC011039,1782,1306,419,316,88.64,94.56,52.43,53.75
RPRC011042,1130,747,913,583,56.21,54.09,114.24,99.17
RPRC011024,5519,3277,2886,2166,274.52,237.27,361.10,368.45
RPRC011023,29,10,58,31,1.44,0.72,7.26,5.27
RPRC011020,4986,3799,1274,956,248.01,275.06,159.41,162.62
RPRC001137,2000,1542,1142,756,99.48,111.65,142.89,128.60
RPRC011019,1818,1151,547,447,90.43,83.34,68.44,76.04
RPRC011050,656,415,566,366,32.63,30.05,70.82,62.26
RPRC017610,0,0,0,0,0.00,0.00,0.00,0.00
RPRC017611,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002291,0,0,0,0,0.00,0.00,0.00,0.00
RPRC005239,0,0,0,0,0.00,0.00,0.00,0.00
RPRC005237,0,1,0,0,0.00,0.07,0.00,0.00
RPRC001285,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000973,41,25,2,4,2.04,1.81,0.25,0.68
RPRC014552,1,0,0,0,0.05,0.00,0.00,0.00
RPRC014486,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014488,3049,2049,1213,1011,151.66,148.35,151.77,171.98
RPRC014550,68,44,10,7,3.38,3.19,1.25,1.19
RPRC014538,243,212,17,25,12.09,15.35,2.13,4.25
RPRC014536,19,22,1,7,0.95,1.59,0.13,1.19
RPRC014485,121,85,92,94,6.02,6.15,11.51,15.99
RPRC014523,1285,583,966,539,63.92,42.21,120.87,91.69
RPRC014520,1273,1466,569,517,63.32,106.14,71.19,87.94
RPRC000974,5027,5029,1713,1741,250.05,364.12,214.34,296.15
RPRC014518,0,1,7,0,0.00,0.07,0.88,0.00
RPRC000975,2695,1430,2180,1432,134.05,103.54,272.77,243.59
RPRC014517,108,87,31,19,5.37,6.30,3.88,3.23
RPRC014516,1,1,6,10,0.05,0.07,0.75,1.70
RPRC004842,0,0,0,0,0.00,0.00,0.00,0.00
RPRC011101,22,28,2,2,1.09,2.03,0.25,0.34
RPRC011100,1982,1102,646,368,98.59,79.79,80.83,62.60
RPRC014813,770,551,371,296,38.30,39.89,46.42,50.35
RPRC014816,1614,1152,523,412,80.28,83.41,65.44,70.08
RPRC014865,12,7,5,5,0.60,0.51,0.63,0.85
RPRC014863,2,3,2,2,0.10,0.22,0.25,0.34
RPRC014817,1972,1337,942,1764,98.09,96.80,117.87,300.07
RPRC014862,500,335,152,51,24.87,24.26,19.02,8.68
RPRC014861,1,1,0,0,0.05,0.07,0.00,0.00
RPRC014850,499,364,266,167,24.82,26.35,33.28,28.41
RPRC000906,1072,656,379,223,53.32,47.50,47.42,37.93
RPRC014812,4054,3564,2662,2040,201.65,258.04,333.08,347.01
RPRC014811,1006,696,588,480,50.04,50.39,73.57,81.65
RPRC014848,12,10,5,3,0.60,0.72,0.63,0.51
RPRC014846,361,237,141,116,17.96,17.16,17.64,19.73
RPRC014841,114,61,45,36,5.67,4.42,5.63,6.12
RPRC014843,392,289,158,151,19.50,20.92,19.77,25.69
RPRC007706,1753,951,797,649,87.20,68.86,99.72,110.40
RPRC007705,996,624,693,509,49.54,45.18,86.71,86.58
RPRC011642,106,95,160,87,5.27,6.88,20.02,14.80
RPRC011641,551,370,243,174,27.41,26.79,30.40,29.60
RPRC012552,5,0,4,1,0.25,0.00,0.50,0.17
RPRC000092,16,3,9,3,0.80,0.22,1.13,0.51
RPRC009824,32,5,19,4,1.59,0.36,2.38,0.68
RPRC009821,1,0,0,0,0.05,0.00,0.00,0.00
RPRC009820,68,32,85,26,3.38,2.32,10.64,4.42
RPRC009776,1,1,0,0,0.05,0.07,0.00,0.00
RPRC009819,2,0,0,0,0.10,0.00,0.00,0.00
RPRC009815,25,21,0,19,1.24,1.52,0.00,3.23
RPRC009812,452,325,164,124,22.48,23.53,20.52,21.09
RPRC001552,1502,999,898,633,74.71,72.33,112.36,107.68
RPRC009810,5,5,5,3,0.25,0.36,0.63,0.51
RPRC009809,3698,2369,1914,1182,183.94,171.52,239.48,201.06
RPRC009802,946,571,736,512,47.05,41.34,92.09,87.09
RPRC009779,1396,1034,405,329,69.44,74.86,50.67,55.96
RPRC001553,1276,1067,457,361,63.47,77.25,57.18,61.41
RPRC009778,1654,1161,1011,740,82.27,84.06,126.50,125.88
RPRC009774,16390,11385,6842,5273,815.25,824.31,856.09,896.96
RPRC001554,46,35,38,34,2.29,2.53,4.75,5.78
RPRC001555,639,417,454,299,31.78,30.19,56.81,50.86
RPRC009593,1,81,0,1,0.05,5.86,0.00,0.17
RPRC009594,35,318,14,9,1.74,23.02,1.75,1.53
RPRC001556,61,17,16,0,3.03,1.23,2.00,0.00
RPRC001557,2,11,4,7,0.10,0.80,0.50,1.19
RPRC009606,1,0,0,0,0.05,0.00,0.00,0.00
RPRC011159,556,391,841,612,27.66,28.31,105.23,104.10
RPRC013563,0,0,0,0,0.00,0.00,0.00,0.00
RPRC008808,454,358,164,150,22.58,25.92,20.52,25.52
RPRC000729,772,688,90,104,38.40,49.81,11.26,17.69
RPRC008809,25876,17212,10052,7296,1287.09,1246.20,1257.73,1241.09
RPRC009987,1662,1011,1385,914,82.67,73.20,173.29,155.48
RPRC000015,2216,1451,1798,1411,110.23,105.06,224.97,240.02
RPRC001303,409,272,183,166,20.34,19.69,22.90,28.24
RPRC001304,2838,2079,289,343,141.16,150.53,36.16,58.35
RPRC009883,699,421,223,194,34.77,30.48,27.90,33.00
RPRC009960,1100,826,339,250,54.71,59.81,42.42,42.53
RPRC009885,959,655,298,201,47.70,47.42,37.29,34.19
RPRC009959,1515,868,991,668,75.36,62.85,124.00,113.63
RPRC001305,1382,994,1079,828,68.74,71.97,135.01,140.85
RPRC009950,8268,5126,3267,2455,411.26,371.14,408.78,417.61
RPRC009878,3358,1627,1021,726,167.03,117.80,127.75,123.50
RPRC009946,256,183,249,171,12.73,13.25,31.16,29.09
RPRC009875,86902,57861,12034,11719,4322.57,4189.32,1505.73,1993.46
RPRC009873,1547,955,423,333,76.95,69.15,52.93,56.65
RPRC001306,486,341,34,46,24.17,24.69,4.25,7.82
RPRC009889,898,614,611,403,44.67,44.46,76.45,68.55
RPRC009937,424,303,345,202,21.09,21.94,43.17,34.36
RPRC001307,474,313,184,147,23.58,22.66,23.02,25.01
RPRC009912,763,555,396,270,37.95,40.18,49.55,45.93
RPRC009870,114,71,16,17,5.67,5.14,2.00,2.89
RPRC009866,1329,813,298,238,66.11,58.86,37.29,40.49
RPRC009891,1905,1427,580,418,94.76,103.32,72.57,71.10
RPRC009911,1896,1478,652,525,94.31,107.01,81.58,89.31
RPRC009893,1,2,0,1,0.05,0.14,0.00,0.17
RPRC009909,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010978,1,0,0,1,0.05,0.00,0.00,0.17
RPRC010980,214,187,468,319,10.64,13.54,58.56,54.26
RPRC017328,0,1,0,0,0.00,0.07,0.00,0.00
RPRC000881,64,38,61,36,3.18,2.75,7.63,6.12
RPRC010420,313,180,91,63,15.57,13.03,11.39,10.72
RPRC008488,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002173,12,16,2,0,0.60,1.16,0.25,0.00
RPRC004122,0,0,0,0,0.00,0.00,0.00,0.00
RPRC008425,184,128,42,38,9.15,9.27,5.26,6.46
RPRC008424,1277,1059,556,394,63.52,76.67,69.57,67.02
RPRC000461,402,252,221,206,20.00,18.25,27.65,35.04
RPRC004411,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009213,0,1,0,0,0.00,0.07,0.00,0.00
RPRC000894,0,0,0,0,0.00,0.00,0.00,0.00
